Channel              :,CH1
Frequency            :,"	?"
Period               :,  ?
PK-PK                :,193.6mV?
Average              :,-0.353mV?
Vertical pos         :,0.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.050000mV
Time interval        :,400.00000uS
,
index,CH1_Voltage(mV)
1,4
2,4
3,0
4,2.4
5,-1.6
6,0
7,6.4
8,0
9,0
10,0
11,0
12,0.8
13,-3.2
14,2.4
15,0.8
16,0.8
17,0
18,0.8
19,0
20,2.4
21,-3.2
22,2.4
23,0.8
24,0
25,0.8
26,0
27,2.4
28,0.8
29,2.4
30,0.8
31,-0.8
32,-2.4
33,0.8
34,-1.6
35,-0.8
36,-1.6
37,-5.6
38,-0.8
39,-0.8
40,2.4
41,0.8
42,-0.8
43,-15.2
44,1.6
45,2.4
46,2.4
47,2.4
48,0.8
49,0
50,0.8
51,0
52,-6.4
53,0
54,-0.8
55,-3.2
56,0
57,-0.8
58,-3.2
59,0
60,-0.8
61,-1.6
62,0
63,4
64,4
65,11.2
66,0
67,2.4
68,-0.8
69,-3.2
70,0
71,0
72,0.8
73,-1.6
74,0.8
75,0.8
76,0
77,-0.8
78,-2.4
79,0
80,1.6
81,0
82,0.8
83,-0.8
84,-0.8
85,-3.2
86,0
87,-1.6
88,-3.2
89,0
90,-4
91,0
92,0
93,-1.6
94,0
95,0
96,-0.8
97,8.8
98,-2.4
99,0
100,2.4
101,0
102,0.8
103,-0.8
104,0.8
105,3.2
106,0
107,0.8
108,-3.2
109,-3.2
110,-1.6
111,1.6
112,2.4
113,-0.8
114,-1.6
115,0
116,0.8
117,0
118,0.8
119,-2.4
120,1.6
121,-2.4
122,0
123,0
124,0
125,-3.2
126,0
127,0.8
128,-3.2
129,-0.8
130,-0.8
131,0
132,0.8
133,-0.8
134,-2.4
135,2.4
136,2.4
137,2.4
138,-0.8
139,0
140,-1.6
141,3.2
142,-0.8
143,-0.8
144,-4
145,-1.6
146,-0.8
147,0.8
148,0
149,2.4
150,1.6
151,-0.8
152,-7.2
153,1.6
154,0
155,-8.8
156,2.4
157,0.8
158,0.8
159,-0.8
160,-3.2
161,0.8
162,2.4
163,-3.2
164,2.4
165,0.8
166,0.8
167,0.8
168,-0.8
169,0
170,0.8
171,2.4
172,2.4
173,0
174,2.4
175,0.8
176,1.6
177,2.4
178,-3.2
179,0
180,-6.4
181,0.8
182,4
183,-0.8
184,0
185,2.4
186,-0.8
187,0
188,-0.8
189,-0.8
190,0.8
191,-0.8
192,-3.2
193,4
194,1.6
195,0
196,1.6
197,5.6
198,0
199,-2.4
200,0.8
201,0
202,0
203,0
204,0
205,2.4
206,-3.2
207,-0.8
208,-0.8
209,0
210,-0.8
211,-1.6
212,0
213,-2.4
214,0.8
215,0.8
216,0.8
217,2.4
218,0.8
219,2.4
220,0.8
221,-1.6
222,0.8
223,-0.8
224,2.4
225,0.8
226,-2.4
227,2.4
228,-0.8
229,0.8
230,-1.6
231,0.8
232,2.4
233,-2.4
234,1.6
235,-1.6
236,-1.6
237,2.4
238,4
239,0
240,-1.6
241,-0.8
242,-3.2
243,0
244,-1.6
245,0
246,-0.8
247,2.4
248,-2.4
249,-2.4
250,0.8
251,0
252,-3.2
253,-4
254,-3.2
255,0
256,3.2
257,1.6
258,-0.8
259,0.8
260,0
261,0.8
262,0
263,0
264,2.4
265,-1.6
266,-1.6
267,2.4
268,0
269,2.4
270,0.8
271,1.6
272,0
273,2.4
274,1.6
275,0.8
276,1.6
277,0.8
278,0.8
279,-3.2
280,0
281,1.6
282,-3.2
283,0.8
284,0.8
285,0.8
286,2.4
287,-0.8
288,-0.8
289,0.8
290,-1.6
291,-3.2
292,2.4
293,0
294,2.4
295,-0.8
296,-2.4
297,-4.8
298,0.8
299,-0.8
300,0.8
301,0.8
302,-0.8
303,2.4
304,-6.4
305,2.4
306,0.8
307,-1.6
308,-0.8
309,0.8
310,-0.8
311,0.8
312,2.4
313,2.4
314,2.4
315,0
316,0.8
317,0
318,2.4
319,2.4
320,0
321,-0.8
322,0.8
323,-0.8
324,0
325,0.8
326,0.8
327,1.6
328,0.8
329,-1.6
330,0.8
331,2.4
332,0
333,-1.6
334,-4
335,-3.2
336,-2.4
337,-2.4
338,-1.6
339,0
340,0
341,-1.6
342,-2.4
343,0
344,0
345,2.4
346,-0.8
347,-2.4
348,2.4
349,0.8
350,0
351,-1.6
352,2.4
353,0.8
354,1.6
355,0
356,0.8
357,0.8
358,-1.6
359,-2.4
360,-3.2
361,0
362,0.8
363,0.8
364,-3.2
365,-0.8
366,-2.4
367,0.8
368,2.4
369,4
370,0.8
371,2.4
372,0.8
373,0
374,1.6
375,2.4
376,1.6
377,0.8
378,1.6
379,-2.4
380,0.8
381,-4
382,-2.4
383,-1.6
384,0.8
385,2.4
386,2.4
387,-3.2
388,0
389,-2.4
390,-4
391,-1.6
392,0
393,0
394,-1.6
395,0.8
396,0
397,2.4
398,0.8
399,-2.4
400,2.4
401,0.8
402,0.8
403,-1.6
404,-3.2
405,-0.8
406,0.8
407,-2.4
408,-0.8
409,-6.4
410,-1.6
411,-4
412,-0.8
413,-1.6
414,0
415,-3.2
416,-2.4
417,0
418,-3.2
419,-3.2
420,2.4
421,0
422,-0.8
423,4
424,2.4
425,0.8
426,-1.6
427,2.4
428,0
429,-0.8
430,3.2
431,4
432,2.4
433,-0.8
434,-2.4
435,-0.8
436,0
437,-1.6
438,4
439,-1.6
440,-0.8
441,0.8
442,-0.8
443,-0.8
444,-1.6
445,-1.6
446,0
447,-3.2
448,-0.8
449,-1.6
450,0.8
451,0.8
452,-1.6
453,-2.4
454,2.4
455,-3.2
456,0
457,3.2
458,-3.2
459,-4.8
460,-1.6
461,1.6
462,2.4
463,-0.8
464,4
465,0.8
466,0
467,0.8
468,2.4
469,0.8
470,-1.6
471,-0.8
472,0.8
473,2.4
474,4
475,0.8
476,-3.2
477,0
478,-0.8
479,0.8
480,-1.6
481,2.4
482,0
483,-0.8
484,0
485,0.8
486,0.8
487,1.6
488,2.4
489,0
490,1.6
491,0
492,-0.8
493,-1.6
494,0
495,0.8
496,0.8
497,0.8
498,2.4
499,-0.8
500,0
501,0
502,0.8
503,0.8
504,2.4
505,0.8
506,-3.2
507,-0.8
508,-2.4
509,-0.8
510,0
511,0
512,0
513,-3.2
514,0
515,0.8
516,2.4
517,0
518,-0.8
519,0
520,-1.6
521,-3.2
522,2.4
523,0
524,-1.6
525,0
526,0
527,0
528,-0.8
529,0.8
530,2.4
531,-5.6
532,2.4
533,0
534,-2.4
535,-0.8
536,0.8
537,0.8
538,-4
539,-3.2
540,-0.8
541,0
542,-0.8
543,2.4
544,-0.8
545,2.4
546,1.6
547,-0.8
548,2.4
549,0.8
550,0
551,0
552,0
553,-1.6
554,-0.8
555,-3.2
556,0
557,-0.8
558,-0.8
559,0
560,0
561,0
562,1.6
563,0
564,1.6
565,-4
566,2.4
567,2.4
568,0
569,-0.8
570,-1.6
571,2.4
572,2.4
573,2.4
574,2.4
575,0.8
576,5.6
577,2.4
578,-2.4
579,-3.2
580,2.4
581,-3.2
582,-3.2
583,0.8
584,0
585,-2.4
586,0.8
587,0
588,0.8
589,-3.2
590,0.8
591,-0.8
592,-1.6
593,0
594,-0.8
595,0
596,-3.2
597,-8.8
598,-0.8
599,0.8
600,-1.6
601,-0.8
602,-1.6
603,-0.8
604,-4
605,-0.8
606,2.4
607,-0.8
608,-1.6
609,-1.6
610,-0.8
611,-3.2
612,-0.8
613,-5.6
614,0.8
615,-0.8
616,0.8
617,0
618,-1.6
619,-4
620,-1.6
621,0
622,2.4
623,0
624,0
625,-0.8
626,0
627,-3.2
628,4
629,0
630,0
631,2.4
632,-0.8
633,0.8
634,-2.4
635,-0.8
636,-0.8
637,-0.8
638,-5.6
639,-3.2
640,0
641,0
642,0
643,2.4
644,-0.8
645,-1.6
646,0.8
647,-1.6
648,0
649,-1.6
650,-0.8
651,2.4
652,-2.4
653,-0.8
654,0
655,-0.8
656,2.4
657,-1.6
658,-3.2
659,0.8
660,0
661,1.6
662,0
663,0
664,0
665,0
666,2.4
667,5.6
668,3.2
669,0
670,0
671,-1.6
672,0
673,3.2
674,2.4
675,-0.8
676,2.4
677,3.2
678,0.8
679,0.8
680,0
681,-9.6
682,2.4
683,-3.2
684,0
685,0.8
686,2.4
687,-3.2
688,-1.6
689,-3.2
690,0
691,0
692,0.8
693,0.8
694,-0.8
695,0.8
696,0.8
697,2.4
698,2.4
699,0.8
700,0.8
701,0.8
702,-0.8
703,0
704,-1.6
705,0
706,1.6
707,3.2
708,-0.8
709,2.4
710,-1.6
711,0.8
712,-0.8
713,0
714,0.8
715,-1.6
716,-1.6
717,-0.8
718,-4
719,-3.2
720,0
721,0.8
722,-3.2
723,0
724,2.4
725,0.8
726,-5.6
727,-3.2
728,-3.2
729,-3.2
730,-0.8
731,-4
732,-3.2
733,0
734,-3.2
735,-2.4
736,0
737,0.8
738,-0.8
739,-4
740,0
741,0
742,0.8
743,-0.8
744,2.4
745,0
746,0
747,0.8
748,0
749,-1.6
750,-0.8
751,0.8
752,0
753,-0.8
754,3.2
755,-0.8
756,0.8
757,-0.8
758,0.8
759,2.4
760,-1.6
761,-3.2
762,2.4
763,0.8
764,0.8
765,-0.8
766,0.8
767,0.8
768,-1.6
769,0.8
770,2.4
