Channel              :,CH1
Frequency            :,"	?"
Period               :,  ?
PK-PK                :,510.0mV?
Average              :,-0.657mV?
Vertical pos         :,-35.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.125000mV
Time interval        :,2000.00000uS
,
index,CH1_Voltage(mV)
1,-1
2,-1
3,5
4,9
5,-9
6,-9
7,-9
8,-7
9,-9
10,9
11,1
12,-1
13,-13
14,5
15,5
16,3
17,-9
18,-9
19,-9
20,3
21,5
22,19
23,1
24,-3
25,1
26,-9
27,-5
28,-19
29,-9
30,-9
31,3
32,13
33,1
34,5
35,-1
36,-9
37,-9
38,-1
39,3
40,19
41,5
42,13
43,5
44,-5
45,9
46,-3
47,-13
48,-3
49,-3
50,-5
51,5
52,11
53,11
54,-1
55,-5
56,-9
57,-13
58,3
59,1
60,-1
61,-9
62,9
63,11
64,5
65,1
66,-13
67,-15
68,-1
69,-13
70,9
71,1
72,5
73,5
74,-3
75,-5
76,-5
77,-15
78,-5
79,-7
80,-13
81,3
82,9
83,1
84,-5
85,1
86,-5
87,-13
88,-3
89,-13
90,-5
91,1
92,9
93,15
94,1
95,-3
96,-5
97,-5
98,15
99,-5
100,3
101,1
102,11
103,3
104,3
105,1
106,-1
107,-9
108,-7
109,-7
110,-9
111,9
112,25
113,9
114,-9
115,-3
116,-5
117,-15
118,-5
119,-5
120,-15
121,9
122,-5
123,9
124,-1
125,-1
126,-19
127,-15
128,-7
129,3
130,9
131,5
132,5
133,5
134,5
135,11
136,-3
137,-5
138,-9
139,1
140,9
141,5
142,9
143,13
144,1
145,-9
146,-9
147,-7
148,-9
149,13
150,-3
151,1
152,13
153,3
154,1
155,-1
156,-7
157,-9
158,-7
159,-3
160,5
161,-1
162,13
163,1
164,-1
165,-9
166,5
167,-17
168,-15
169,-7
170,-3
171,5
172,5
173,5
174,3
175,-3
176,5
177,-1
178,-9
179,-1
180,-7
181,-1
182,3
183,9
184,5
185,1
186,-9
187,-17
188,-7
189,-7
190,9
191,-9
192,9
193,3
194,3
195,5
196,-5
197,-9
198,-9
199,-9
200,9
201,-1
202,5
203,3
204,-3
205,1
206,-13
207,-15
208,-15
209,-3
210,3
211,1
212,5
213,-7
214,-5
215,-3
216,-13
217,-3
218,-9
219,-1
220,5
221,1
222,5
223,9
224,3
225,11
226,3
227,-23
228,-19
229,-3
230,3
231,5
232,5
233,-5
234,5
235,-1
236,-13
237,-15
238,-9
239,1
240,3
241,5
242,11
243,-7
244,-1
245,-9
246,-5
247,-17
248,3
249,1
250,5
251,5
252,11
253,5
254,1
255,-1
256,1
257,-15
258,-3
259,-5
260,1
261,9
262,11
263,-7
264,11
265,-9
266,-5
267,-19
268,-1
269,-1
270,1
271,1
272,13
273,1
274,5
275,1
276,-9
277,-15
278,-9
279,1
280,1
281,1
282,19
283,5
284,9
285,5
286,-9
287,-7
288,-17
289,-7
290,-3
291,5
292,13
293,5
294,5
295,-15
296,-5
297,-15
298,-5
299,-5
300,-5
301,9
302,15
303,3
304,-3
305,5
306,-3
307,-9
308,-13
309,1
310,3
311,-5
312,23
313,13
314,1
315,-1
316,-9
317,-7
318,-3
319,-7
320,-7
321,9
322,5
323,9
324,15
325,-9
326,-3
327,27
328,-71
329,-13
330,9
331,21
332,9
333,-13
334,5
335,-9
336,-7
337,-13
338,-7
339,-5
340,9
341,9
342,1
343,9
344,-9
345,5
346,-13
347,-9
348,-9
349,-9
350,1
351,-3
352,5
353,5
354,-27
355,3
356,-13
357,-13
358,-7
359,-3
360,-1
361,-1
362,9
363,-7
364,9
365,-1
366,-7
367,-7
368,-3
369,-9
370,3
371,5
372,11
373,3
374,1
375,1
376,1
377,-19
378,-1
379,1
380,5
381,-1
382,9
383,19
384,-3
385,-5
386,-9
387,-7
388,-1
389,-5
390,-1
391,5
392,13
393,13
394,15
395,-9
396,-1
397,-9
398,-7
399,-7
400,-1
401,9
402,13
403,9
404,-9
405,1
406,-9
407,-23
408,-1
409,1
410,5
411,-1
412,9
413,-19
414,-1
415,1
416,3
417,-9
418,-13
419,-3
420,1
421,1
422,5
423,9
424,-15
425,-19
426,9
427,11
428,15
429,5
430,3
431,5
432,5
433,1
434,3
435,5
436,-3
437,-3
438,-5
439,-3
440,1
441,5
442,5
443,9
444,-1
445,3
446,-9
447,-13
448,-7
449,-5
450,1
451,9
452,21
453,3
454,3
455,3
456,-5
457,-5
458,-9
459,-3
460,5
461,3
462,11
463,-1
464,1
465,5
466,-5
467,-7
468,-5
469,-5
470,3
471,3
472,9
473,5
474,5
475,-1
476,-9
477,-25
478,-9
479,-23
480,-25
481,-3
482,9
483,19
484,19
485,11
486,-1
487,-9
488,-31
489,1
490,-1
491,5
492,9
493,9
494,-1
495,5
496,-3
497,-3
498,-9
499,1
500,-1
501,9
502,5
503,5
504,-1
505,-1
506,3
507,-9
508,-1
509,-15
510,5
511,-9
512,9
513,-9
514,-1
515,5
516,-7
517,-5
518,3
519,5
520,-1
521,19
522,5
523,-5
524,-1
525,1
526,-3
527,-17
528,-1
529,-1
530,1
531,-1
532,-3
533,9
534,3
535,3
536,-13
537,-15
538,-9
539,-3
540,3
541,9
542,5
543,15
544,1
545,-7
546,-7
547,-19
548,-1
549,5
550,1
551,9
552,21
553,9
554,-17
555,3
556,-9
557,-13
558,-3
559,-3
560,5
561,1
562,-15
563,15
564,-63
565,1
566,-7
567,-15
568,-17
569,-9
570,9
571,13
572,-1
573,-17
574,9
575,5
576,-9
577,-5
578,-23
579,-9
580,15
581,13
582,1
583,45
584,-3
585,-3
586,5
587,-19
588,-5
589,-15
590,15
591,-5
592,11
593,9
594,-27
595,-1
596,-15
597,-7
598,5
599,-9
600,-7
601,13
602,9
603,-7
604,5
605,5
606,5
607,-15
608,-13
609,3
610,3
611,5
612,5
613,13
614,-1
615,9
616,1
617,-19
618,-7
619,25
620,-5
621,9
622,5
623,25
624,9
625,3
626,-7
627,-15
628,-3
629,-7
630,3
631,1
632,9
633,13
634,5
635,-13
636,-9
637,-13
638,-5
639,-9
640,21
641,-1
642,5
643,5
644,1
645,1
646,-9
647,-9
648,-7
649,-7
650,-1
651,5
652,3
653,-7
654,-13
655,-3
656,1
657,-9
658,-19
659,-3
660,5
661,13
662,11
663,-7
664,1
665,5
666,-9
667,-9
668,-13
669,5
670,-1
671,5
672,5
673,11
674,9
675,-5
676,-7
677,-13
678,19
679,1
680,-1
681,3
682,5
683,-3
684,15
685,-3
686,-1
687,-13
688,-19
689,-3
690,5
691,1
692,5
693,5
694,3
695,5
696,-9
697,-19
698,-7
699,-19
700,-1
701,-1
702,19
703,9
704,3
705,5
706,-3
707,-7
708,-19
709,-5
710,9
711,1
712,9
713,1
714,15
715,5
716,-15
717,-9
718,-7
719,-3
720,-3
721,15
722,13
723,5
724,5
725,11
726,-3
727,-3
728,3
729,1
730,5
731,5
732,9
733,5
734,-1
735,-7
736,3
737,-9
738,-9
739,1
740,3
741,3
742,19
743,-1
744,1
745,3
746,-7
747,-1
748,-5
749,-3
750,5
751,3
752,3
753,1
754,-9
755,-3
756,-7
757,-9
758,1
759,-3
760,3
761,-1
762,5
763,9
764,1
765,-7
766,-13
767,-17
768,5
769,-23
770,-7
771,9
772,5
773,-5
774,3
775,5
776,1
777,-15
778,-5
779,-3
780,5
781,9
782,13
783,-5
784,-7
785,-7
786,-3
787,-15
788,-3
789,-5
790,-1
791,9
792,9
793,15
794,11
795,-1
796,-5
797,-19
798,-9
799,-5
800,9
801,5
802,15
803,-7
804,1
805,-7
806,1
807,-9
808,-5
809,-1
810,-9
811,5
812,15
813,3
814,11
815,-3
816,-9
817,-15
818,-13
819,1
820,5
821,-1
822,9
823,1
824,3
825,13
826,-1
827,-13
828,-13
829,-9
830,-9
831,5
832,5
833,5
834,-7
835,11
836,-1
837,-3
838,-7
839,-7
840,-5
841,5
842,1
843,3
844,-3
845,-7
846,-7
847,-13
848,-17
849,-1
850,-15
851,9
852,11
853,9
854,-7
855,5
856,-7
857,-9
858,-9
859,-7
860,1
861,5
862,11
863,15
864,9
865,1
866,-7
867,-13
868,-7
869,-1
870,9
871,5
872,9
873,5
874,3
875,9
876,-3
877,-15
878,-9
879,-1
880,-1
881,3
882,1
883,5
884,9
885,19
886,-5
887,-13
888,-7
889,9
890,-13
891,-3
892,-3
893,11
894,-3
895,3
896,-7
897,-5
898,5
899,-13
900,3
901,9
902,9
903,5
904,5
905,5
906,-1
907,-5
908,-7
909,-1
910,1
911,5
912,13
913,-7
914,1
915,1
916,-5
917,-13
918,-17
919,3
920,-9
921,9
922,5
923,-3
924,5
925,5
926,1
927,3
928,-7
929,-9
930,-1
931,5
932,9
933,9
934,3
935,5
936,3
937,-13
938,-7
939,-13
940,15
941,3
942,-3
943,5
944,1
945,-3
946,-13
947,-17
948,-5
949,-3
950,-13
951,5
952,5
953,5
954,9
955,-7
956,-9
957,-13
958,-7
959,9
960,9
961,3
962,9
963,5
964,9
965,-7
966,3
967,-13
968,-5
969,3
970,1
971,5
972,9
973,5
974,-1
975,3
976,-13
977,-13
978,-7
979,5
980,-3
981,-1
982,5
983,3
984,-3
985,-1
986,-9
987,-9
988,-15
989,-5
990,-5
991,5
992,9
993,5
994,-3
995,-5
996,-1
997,-9
998,-13
999,-3
1000,-13
1001,3
1002,9
1003,5
1004,5
1005,5
