index,CH1
1,-6.5
2,-6.5
3,-6.5
4,-8.5
5,-0.5
6,-3.5
7,-3.5
8,8.5
9,3.5
10,3.5
11,-0.5
12,-6.5
13,-6.5
14,-7.5
15,-9.5
16,-1.5
17,8.5
18,4.5
19,6.5
20,4.5
21,0.5
22,-1.5
23,-6.5
24,-8.5
25,-3.5
26,-0.5
27,5.5
28,9.5
29,2.5
30,6.5
31,-1.5
32,-15.5
33,-4.5
34,-4.5
35,-5.5
36,-0.5
37,0.5
38,6.5
39,8.5
40,1.5
41,-1.5
42,-3.5
43,-9.5
44,-10.5
45,-3.5
46,13.5
47,1.5
48,10.5
49,2.5
50,-9.5
51,1.5
52,-18.5
53,-4.5
54,-3.5
55,-5.5
56,-0.5
57,29.5
58,8.5
59,3.5
60,14.5
61,1.5
62,27.5
63,-7.5
64,-6.5
65,-3.5
66,-0.5
67,6.5
68,8.5
69,6.5
70,2.5
71,-1.5
72,-4.5
73,-8.5
74,-9.5
75,-1.5
76,-0.5
77,6.5
78,9.5
79,10.5
80,3.5
81,0.5
82,-7.5
83,-6.5
84,-3.5
85,-3.5
86,1.5
87,2.5
88,8.5
89,1.5
90,4.5
91,1.5
92,-3.5
93,-8.5
94,-3.5
95,-6.5
96,-0.5
97,7.5
98,2.5
99,-0.5
100,-0.5
101,1.5
102,-3.5
103,-10.5
104,-6.5
105,-3.5
106,-0.5
107,6.5
108,6.5
109,5.5
110,1.5
111,0.5
112,-3.5
113,-8.5
114,-3.5
115,-4.5
116,-0.5
117,3.5
118,9.5
119,6.5
120,4.5
121,-0.5
122,-3.5
123,-4.5
124,-10.5
125,-3.5
126,2.5
127,7.5
128,8.5
129,8.5
130,2.5
131,2.5
132,-3.5
133,-4.5
134,-9.5
135,-1.5
136,1.5
137,6.5
138,7.5
139,9.5
140,2.5
141,1.5
142,-6.5
143,-10.5
144,-0.5
145,-3.5
146,-0.5
147,6.5
148,7.5
149,3.5
150,2.5
151,0.5
152,-4.5
153,-7.5
154,-5.5
155,-1.5
156,-1.5
157,2.5
158,9.5
159,2.5
160,3.5
161,3.5
162,-3.5
163,-5.5
164,-7.5
165,-1.5
166,-1.5
167,6.5
168,9.5
169,12.5
170,4.5
171,3.5
172,-4.5
173,-8.5
174,-4.5
175,-1.5
176,1.5
177,4.5
178,7.5
179,7.5
180,4.5
181,1.5
182,-5.5
183,-8.5
184,-7.5
185,-3.5
186,3.5
187,6.5
188,8.5
189,7.5
190,2.5
191,1.5
192,-5.5
193,-10.5
194,-1.5
195,10.5
196,-1.5
197,5.5
198,8.5
199,6.5
200,5.5
201,-3.5
202,-5.5
203,-5.5
204,-7.5
205,-1.5
206,-1.5
207,8.5
208,1.5
209,5.5
210,5.5
211,0.5
212,-5.5
213,-6.5
214,-5.5
215,-4.5
216,-1.5
217,7.5
218,7.5
219,7.5
220,4.5
221,1.5
222,-6.5
223,-6.5
224,-5.5
225,-3.5
226,-0.5
227,7.5
228,6.5
229,5.5
230,3.5
231,0.5
232,-3.5
233,-8.5
234,-5.5
235,-3.5
236,-0.5
237,5.5
238,2.5
239,7.5
240,3.5
241,0.5
242,-4.5
243,-5.5
244,-8.5
245,-3.5
246,0.5
247,6.5
248,9.5
249,7.5
250,1.5
251,1.5
252,-5.5
253,-4.5
254,-3.5
255,-3.5
256,2.5
257,6.5
258,8.5
259,4.5
260,0.5
261,1.5
262,-6.5
263,-14.5
264,-8.5
265,-3.5
266,-3.5
267,1.5
268,6.5
269,8.5
270,-1.5
271,-1.5
272,-5.5
273,-8.5
274,-9.5
275,-3.5
276,-0.5
277,6.5
278,6.5
279,6.5
280,3.5
281,-1.5
282,-6.5
283,-3.5
284,-5.5
285,-3.5
286,-0.5
287,7.5
288,9.5
289,10.5
290,2.5
291,-1.5
292,-5.5
293,-3.5
294,-6.5
295,-3.5
296,-1.5
297,4.5
298,4.5
299,3.5
300,4.5
301,2.5
302,-4.5
303,-6.5
304,-4.5
305,-3.5
306,-0.5
307,4.5
308,8.5
309,6.5
310,0.5
311,0.5
312,-7.5
313,-5.5
314,-4.5
315,-3.5
316,1.5
317,3.5
318,8.5
319,10.5
320,5.5
321,2.5
322,-8.5
323,-5.5
324,-5.5
325,-3.5
326,-0.5
327,4.5
328,8.5
329,15.5
330,-0.5
331,-0.5
332,-5.5
333,-6.5
334,-7.5
335,-4.5
336,-3.5
337,7.5
338,8.5
339,7.5
340,3.5
341,-0.5
342,-3.5
343,-6.5
344,-8.5
345,-0.5
346,1.5
347,6.5
348,6.5
349,5.5
350,2.5
351,-1.5
352,-4.5
353,-7.5
354,-6.5
355,-9.5
356,-3.5
357,4.5
358,6.5
359,-0.5
360,4.5
361,-0.5
362,-6.5
363,-3.5
364,-7.5
365,-5.5
366,1.5
367,7.5
368,6.5
369,4.5
370,3.5
371,2.5
372,-6.5
373,-4.5
374,-5.5
375,-0.5
376,-1.5
377,6.5
378,12.5
379,5.5
380,-0.5
381,-0.5
382,-5.5
383,-8.5
384,-6.5
385,-3.5
386,-0.5
387,9.5
388,9.5
389,8.5
390,7.5
391,2.5
392,-8.5
393,-6.5
394,-6.5
395,-4.5
396,-0.5
397,9.5
