index,CH1_Voltage(mV)
1,-4
2,-4
3,4
4,0
5,0
6,-4
7,-4
8,4
9,0
10,-4
11,4
12,4
13,0
14,-4
15,-4
16,-4
17,0
18,-4
19,4
20,4
21,-4
22,0
23,0
24,0
25,0
26,0
27,-4
28,0
29,-4
30,0
31,0
32,0
33,-4
34,4
35,0
36,0
37,-4
38,0
39,0
40,-4
41,4
42,4
43,-4
44,-4
45,0
46,-4
47,0
48,4
49,4
50,0
51,4
52,4
53,0
54,0
55,-4
56,-4
57,0
58,0
59,-4
60,0
61,4
62,0
63,4
64,0
65,-4
66,0
67,-4
68,0
69,-4
70,4
71,0
72,0
73,0
74,-4
75,-4
76,-4
77,-4
78,0
79,-4
80,4
81,0
82,0
83,-4
84,4
85,0
86,0
87,-4
88,-4
89,0
90,4
91,0
92,4
93,-4
94,0
95,4
96,-4
97,0
98,0
99,4
100,-4
101,-4
102,-4
103,-4
104,-4
105,-4
106,-4
107,0
108,-4
109,-4
110,-4
111,4
112,4
113,0
114,0
115,-4
116,-4
117,0
118,4
119,-4
120,0
121,-4
122,4
123,-4
124,-4
125,-4
126,-8
127,-4
128,4
129,0
130,-4
131,0
132,4
133,-4
134,-4
135,0
136,0
137,-4
138,0
139,4
140,4
141,-4
142,0
143,0
144,0
145,-4
146,0
147,-4
148,0
149,-4
150,-4
151,0
152,0
153,-4
154,0
155,0
156,-4
157,-4
158,-4
159,-4
160,0
161,4
162,4
163,-8
164,-4
165,0
166,0
167,0
168,4
169,-4
170,4
171,0
172,0
173,-4
174,0
175,0
176,0
177,-4
178,4
179,0
180,0
181,4
182,0
183,0
184,0
185,0
186,-4
187,-4
188,-4
189,0
190,0
191,4
192,4
193,-4
194,4
195,-4
196,-4
197,-4
198,-4
199,0
200,0
201,0
202,-4
203,0
204,-4
205,-4
206,0
207,-4
208,0
209,-4
210,0
211,-4
212,-4
213,0
214,4
215,0
216,-4
217,0
218,0
219,0
220,0
221,0
222,4
223,0
224,0
225,0
226,4
227,0
228,0
229,-4
230,0
231,4
232,0
233,4
234,-4
235,-4
236,-4
237,-8
238,4
239,-4
240,-4
241,0
242,4
243,-4
244,-4
245,-4
246,0
247,-4
248,-4
249,0
250,4
251,-4
252,4
253,-4
254,4
255,-4
256,-4
257,0
258,0
259,4
260,4
261,0
262,0
263,0
264,-4
265,0
266,-4
267,-4
268,-4
269,-4
270,-4
271,0
272,0
273,4
274,-4
275,0
276,-4
277,-4
278,-4
279,-4
280,0
281,0
282,4
283,-4
284,0
285,-4
286,0
287,0
288,0
289,0
290,-4
291,4
292,-4
293,-4
294,0
295,0
296,-4
297,0
298,-4
299,0
300,4
301,0
302,4
303,-4
304,0
305,-4
306,0
307,0
308,-4
309,4
310,0
311,0
312,-4
313,0
314,0
315,-4
316,-4
317,-4
318,4
319,0
320,0
321,0
322,0
323,-4
324,0
325,0
326,4
327,-4
328,0
329,-4
330,0
331,4
332,0
333,-4
334,-4
335,0
336,4
337,0
