Channel              :,CH1
Frequency            :,	?
Period               :,  ?
PK-PK                :,510.0mV?
Average              :,-0.192mV?
Vertical pos         :,22.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.125000mV
Time interval        :,2000.00000uS

index,CH1_Voltage(mV)
1,68.000000
2,68.000000
3,68.000000
4,62.000000
5,68.000000
6,62.000000
7,68.000000
8,68.000000
9,66.000000
10,68.000000
11,64.000000
12,68.000000
13,66.000000
14,62.000000
15,60.000000
16,62.000000
17,64.000000
18,66.000000
19,66.000000
20,64.000000
21,68.000000
22,68.000000
23,68.000000
24,50.000000
25,62.000000
26,54.000000
27,58.000000
28,64.000000
29,64.000000
30,68.000000
31,66.000000
32,64.000000
33,82.000000
34,68.000000
35,64.000000
36,62.000000
37,66.000000
38,68.000000
39,64.000000
40,62.000000
41,72.000000
42,68.000000
43,58.000000
44,64.000000
45,62.000000
46,62.000000
47,66.000000
48,66.000000
49,64.000000
50,62.000000
51,66.000000
52,68.000000
53,60.000000
54,68.000000
55,60.000000
56,66.000000
57,64.000000
58,78.000000
59,66.000000
60,58.000000
61,68.000000
62,66.000000
63,72.000000
64,62.000000
65,54.000000
66,66.000000
67,62.000000
68,58.000000
69,74.000000
70,64.000000
71,60.000000
72,58.000000
73,60.000000
74,54.000000
75,42.000000
76,58.000000
77,54.000000
78,54.000000
79,58.000000
80,52.000000
81,44.000000
82,52.000000
83,58.000000
84,52.000000
85,48.000000
86,46.000000
87,48.000000
88,44.000000
89,48.000000
90,46.000000
91,48.000000
92,48.000000
93,46.000000
94,40.000000
95,40.000000
96,42.000000
97,42.000000
98,42.000000
99,40.000000
100,40.000000
101,42.000000
102,44.000000
103,36.000000
104,38.000000
105,40.000000
106,40.000000
107,42.000000
108,38.000000
109,40.000000
110,38.000000
111,40.000000
112,58.000000
113,38.000000
114,40.000000
115,36.000000
116,38.000000
117,34.000000
118,30.000000
119,38.000000
120,30.000000
121,36.000000
122,30.000000
123,40.000000
124,36.000000
125,32.000000
126,36.000000
127,40.000000
128,40.000000
129,36.000000
130,38.000000
131,36.000000
132,30.000000
133,32.000000
134,30.000000
135,34.000000
136,34.000000
137,34.000000
138,36.000000
139,34.000000
140,34.000000
141,32.000000
142,32.000000
143,40.000000
144,38.000000
145,34.000000
146,26.000000
147,30.000000
148,30.000000
149,34.000000
150,34.000000
151,36.000000
152,36.000000
153,20.000000
154,40.000000
155,34.000000
156,38.000000
157,34.000000
158,30.000000
159,34.000000
160,30.000000
161,32.000000
162,36.000000
163,30.000000
164,26.000000
165,30.000000
166,-10.000000
167,26.000000
168,22.000000
169,26.000000
170,26.000000
171,26.000000
172,24.000000
173,20.000000
174,20.000000
175,20.000000
176,18.000000
177,16.000000
178,20.000000
179,18.000000
180,12.000000
181,6.000000
182,16.000000
183,16.000000
184,12.000000
185,10.000000
186,16.000000
187,10.000000
188,8.000000
189,10.000000
190,22.000000
191,20.000000
192,10.000000
193,8.000000
194,8.000000
195,6.000000
196,2.000000
197,4.000000
198,4.000000
199,6.000000
200,4.000000
201,10.000000
202,2.000000
203,6.000000
204,4.000000
205,6.000000
206,2.000000
207,2.000000
208,2.000000
209,4.000000
210,2.000000
211,4.000000
212,2.000000
213,16.000000
214,2.000000
215,-2.000000
216,-4.000000
217,-2.000000
218,2.000000
219,-2.000000
220,2.000000
221,-2.000000
222,10.000000
223,2.000000
224,2.000000
225,-2.000000
226,-2.000000
227,-10.000000
228,-4.000000
229,-2.000000
230,-2.000000
231,2.000000
232,6.000000
233,-2.000000
234,-28.000000
235,-2.000000
236,2.000000
237,-2.000000
238,-2.000000
239,-2.000000
240,-6.000000
241,-4.000000
242,2.000000
243,8.000000
244,-2.000000
245,-2.000000
246,-4.000000
247,-2.000000
248,2.000000
249,-2.000000
250,2.000000
251,2.000000
252,2.000000
253,6.000000
254,-12.000000
255,-4.000000
256,-4.000000
257,-6.000000
258,-22.000000
259,-2.000000
260,2.000000
261,-2.000000
262,-2.000000
263,2.000000
264,-4.000000
265,-2.000000
266,-2.000000
267,-2.000000
268,2.000000
269,-2.000000
270,2.000000
271,-2.000000
272,2.000000
273,-2.000000
274,-4.000000
275,-8.000000
276,-4.000000
277,-6.000000
278,-8.000000
279,-2.000000
280,-2.000000
281,-2.000000
282,-6.000000
283,-4.000000
284,-2.000000
285,8.000000
286,-6.000000
287,-4.000000
288,-4.000000
289,-22.000000
290,-2.000000
291,2.000000
292,-6.000000
293,-2.000000
294,-4.000000
295,-4.000000
296,-2.000000
297,-2.000000
298,-4.000000
299,2.000000
300,-10.000000
301,-4.000000
302,-2.000000
303,-2.000000
304,-4.000000
305,-2.000000
306,-2.000000
307,-8.000000
308,-6.000000
309,-8.000000
310,-2.000000
311,-2.000000
312,-2.000000
313,-2.000000
314,-8.000000
315,-2.000000
316,-4.000000
317,-4.000000
318,-2.000000
319,-6.000000
320,-10.000000
321,-8.000000
322,-4.000000
323,-4.000000
324,-2.000000
325,-6.000000
326,-10.000000
327,-2.000000
328,-4.000000
329,-2.000000
330,-2.000000
331,-2.000000
332,-26.000000
333,12.000000
334,-4.000000
335,-2.000000
336,-4.000000
337,2.000000
338,-8.000000
339,-4.000000
340,-4.000000
341,-4.000000
342,-10.000000
343,-14.000000
344,-4.000000
345,-6.000000
346,-6.000000
347,-4.000000
348,-4.000000
349,-6.000000
350,2.000000
351,2.000000
352,8.000000
353,-10.000000
354,-26.000000
355,-8.000000
356,-12.000000
357,-8.000000
358,-46.000000
359,4.000000
360,2.000000
361,-2.000000
362,-2.000000
363,-2.000000
364,6.000000
365,-8.000000
366,-10.000000
367,-8.000000
368,2.000000
369,-4.000000
370,6.000000
371,-4.000000
372,-2.000000
373,-4.000000
374,-2.000000
375,-6.000000
376,-32.000000
377,-6.000000
378,-8.000000
379,-2.000000
380,-52.000000
381,-10.000000
382,2.000000
383,2.000000
384,-4.000000
385,-4.000000
386,-12.000000
387,-6.000000
388,-4.000000
389,-4.000000
390,22.000000
391,-2.000000
392,-2.000000
393,-4.000000
394,-4.000000
395,-2.000000
396,-8.000000
397,-6.000000
398,-12.000000
399,2.000000
400,20.000000
401,12.000000
402,-2.000000
403,-4.000000
404,2.000000
405,-4.000000
406,-10.000000
407,-10.000000
408,-8.000000
409,2.000000
410,-12.000000
411,2.000000
412,2.000000
413,8.000000
414,-2.000000
415,-4.000000
416,-12.000000
417,-4.000000
418,-8.000000
419,-4.000000
420,2.000000
421,-2.000000
422,-2.000000
423,38.000000
424,-2.000000
425,-4.000000
426,-6.000000
427,-2.000000
428,-4.000000
429,-4.000000
430,2.000000
431,-12.000000
432,2.000000
433,-18.000000
434,-2.000000
435,-2.000000
436,-6.000000
437,-10.000000
438,-4.000000
439,-8.000000
440,2.000000
441,-4.000000
442,-2.000000
443,-4.000000
444,2.000000
445,-8.000000
446,-12.000000
447,-14.000000
448,-32.000000
449,-2.000000
450,-4.000000
451,2.000000
452,-2.000000
453,-8.000000
454,-26.000000
455,-2.000000
456,-12.000000
457,-4.000000
458,-22.000000
459,-2.000000
460,-64.000000
461,-8.000000
462,30.000000
463,54.000000
464,34.000000
465,2.000000
466,-48.000000
467,-98.000000
468,-98.000000
469,-56.000000
470,-12.000000
471,24.000000
472,68.000000
473,80.000000
474,58.000000
475,2.000000
476,-52.000000
477,-102.000000
478,-106.000000
479,-56.000000
480,-4.000000
481,40.000000
482,68.000000
483,72.000000
484,38.000000
485,30.000000
486,-56.000000
487,-102.000000
488,-110.000000
489,-54.000000
490,4.000000
491,36.000000
492,72.000000
493,86.000000
494,52.000000
495,24.000000
496,-54.000000
497,-14.000000
498,-18.000000
499,-30.000000
500,-8.000000
501,-4.000000
502,2.000000
503,6.000000
504,-8.000000
505,-6.000000
506,-12.000000
507,-2.000000
508,-4.000000
509,2.000000
510,-8.000000
511,-2.000000
512,-4.000000
513,4.000000
514,-4.000000
515,-4.000000
516,-6.000000
517,-8.000000
518,-8.000000
519,-2.000000
520,-6.000000
521,-4.000000
522,-4.000000
523,-4.000000
524,-2.000000
525,-6.000000
526,-4.000000
527,-6.000000
528,-2.000000
529,-4.000000
530,-4.000000
531,4.000000
532,-16.000000
533,-14.000000
534,-4.000000
535,-8.000000
536,-14.000000
537,-8.000000
538,-8.000000
539,-10.000000
540,-2.000000
541,-4.000000
542,-18.000000
543,-6.000000
544,-4.000000
545,-2.000000
546,-2.000000
547,-4.000000
548,-10.000000
549,-4.000000
550,-6.000000
551,-4.000000
552,-6.000000
553,-6.000000
554,12.000000
555,-4.000000
556,-4.000000
557,-4.000000
558,-6.000000
559,-4.000000
560,-4.000000
561,-4.000000
562,-2.000000
563,2.000000
564,-8.000000
565,-8.000000
566,-4.000000
567,-4.000000
568,-2.000000
569,-2.000000
570,-4.000000
571,-2.000000
572,-2.000000
573,-2.000000
574,-2.000000
575,-6.000000
576,-2.000000
577,-4.000000
578,-10.000000
579,-4.000000
580,-6.000000
581,-4.000000
582,-6.000000
583,-2.000000
584,-2.000000
585,-4.000000
586,-2.000000
587,-8.000000
588,-4.000000
589,-6.000000
590,-8.000000
591,-2.000000
592,-2.000000
593,-4.000000
594,-8.000000
595,-4.000000
596,-6.000000
597,-4.000000
598,-8.000000
599,-6.000000
600,-4.000000
601,2.000000
602,-4.000000
603,-2.000000
604,-6.000000
605,-4.000000
