Channel              :,CH1
Frequency            :,"	?"
Period               :,  ?
PK-PK                :,1.632V?
Average              :,-16.66mV?
Vertical pos         :,-140.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,2000.00000uS
,
index,CH1_Voltage(mV)
1,-36
2,-36
3,-12
4,-28
5,-20
6,-20
7,-12
8,-20
9,-20
10,-4
11,-20
12,-12
13,-28
14,-28
15,-4
16,-12
17,-12
18,-12
19,-12
20,-12
21,-4
22,-12
23,-4
24,-4
25,-28
26,-28
27,-4
28,-20
29,-12
30,-20
31,-20
32,-20
33,-20
34,-28
35,-12
36,-12
37,-4
38,-12
39,-12
40,-12
41,4
42,-4
43,-4
44,-4
45,-20
46,-12
47,-4
48,-4
49,-20
50,-20
51,-12
52,-20
53,-20
54,-36
55,-4
56,-28
57,-12
58,-20
59,-12
60,12
61,-12
62,-4
63,-12
64,-20
65,-36
66,-12
67,-12
68,-12
69,-12
70,-12
71,-12
72,-20
73,-36
74,-12
75,-20
76,-12
77,-12
78,-12
79,-12
80,-12
81,-20
82,-20
83,-12
84,-28
85,-28
86,-28
87,-20
88,-28
89,-4
90,-12
91,-12
92,-20
93,-12
94,-12
95,-28
96,-12
97,-28
98,-20
99,-12
100,-4
101,-20
102,-12
103,-4
104,12
105,-20
106,-36
107,-4
108,-12
109,-20
110,-28
111,-12
112,-20
113,-12
114,-20
115,20
116,-4
117,-28
118,-28
119,-28
120,-20
121,-20
122,-20
123,-20
124,-20
125,-20
126,-28
127,-20
128,-20
129,-28
130,-20
131,-4
132,-36
133,-20
134,-20
135,-12
136,-28
137,-12
138,-4
139,-12
140,-4
141,-12
142,-4
143,-12
144,-4
145,-20
146,20
147,-20
148,-4
149,-4
150,-12
151,-28
152,-12
153,-12
154,-28
155,-12
156,-4
157,-20
158,-12
159,-12
160,-20
161,-20
162,-20
163,-12
164,-20
165,-20
166,-4
167,-4
168,-20
169,-12
170,4
171,-20
172,-28
173,-12
174,-20
175,-20
176,-4
177,-28
178,-12
179,-28
180,-28
181,-20
182,-12
183,-12
184,-4
185,-28
186,-12
187,4
188,-20
189,-20
190,-4
191,-28
192,-4
193,-12
194,-28
195,-12
196,-12
197,-4
198,-12
199,4
200,-4
201,-12
202,-52
203,-28
204,-20
205,-20
206,-12
207,-20
208,-20
209,-4
210,-4
211,-12
212,-28
213,-28
214,-12
215,-12
216,-28
217,-12
218,-28
219,-28
220,12
221,-20
222,-28
223,-20
224,4
225,-36
226,-20
227,-36
228,-20
229,-12
230,-12
231,-12
232,-4
233,-4
234,-28
235,-28
236,-12
237,-28
238,-4
239,-4
240,-4
241,-20
242,-12
243,-20
244,-4
245,-20
246,-20
247,-12
248,4
249,-20
250,-28
251,-20
252,-28
253,-12
254,-20
255,-28
256,-28
257,-28
258,-28
259,-12
260,-12
261,-4
262,-12
263,-12
264,-20
265,-12
266,-20
267,-20
268,-12
269,-20
270,-4
271,-28
272,-20
273,-12
274,-20
275,-20
276,-28
277,-20
278,-12
279,-4
280,-12
281,-12
282,-4
283,4
284,-20
285,-20
286,-4
287,-20
288,-12
289,-20
290,-4
291,-12
292,-12
293,-12
294,-12
295,-12
296,-4
297,-12
298,-20
299,-28
300,-4
301,-12
302,-12
303,-28
304,-12
305,-4
306,-20
307,4
308,-12
309,-4
310,-4
311,-4
312,-12
313,-20
314,-4
315,-12
316,-28
317,-4
318,-4
319,-12
320,12
321,12
322,-12
323,-4
324,-20
325,-4
326,-4
327,-28
328,-20
329,-4
330,-20
331,-20
332,-36
333,-12
334,-20
335,-52
336,-12
337,-20
338,-12
339,-28
340,-4
341,-20
342,-20
343,-28
344,-20
345,-28
346,-20
347,-4
348,-20
349,-20
350,-20
351,-12
352,-12
353,-20
354,-28
355,-12
356,-12
357,-20
358,-20
359,-12
360,-20
361,4
362,-20
363,-12
364,-12
365,-20
366,-20
367,-12
368,-12
369,-12
370,-12
371,-36
372,-4
373,-12
374,-12
375,-4
376,-12
377,-20
378,-12
379,-20
380,-4
381,-12
382,-28
383,-4
384,-20
385,-28
386,-36
387,-20
388,-4
389,-4
390,-36
391,-28
392,-12
393,-28
394,-12
395,-20
396,-28
397,-12
398,-12
399,-28
400,-12
401,-20
402,-20
403,4
404,-20
405,-20
406,-12
407,-20
408,-4
409,-20
410,-4
411,-12
412,-4
413,-4
414,-28
415,-12
416,-20
417,-20
418,-12
419,-4
420,-4
421,-20
422,-12
423,-4
424,-28
425,-28
426,-4
427,-12
428,-4
429,-20
430,4
431,-4
432,-12
433,-28
434,-4
435,-20
436,-12
437,-12
438,-28
439,-20
440,-4
441,-20
442,-12
443,-28
444,-28
445,-20
446,-28
447,-12
448,4
449,-12
450,-12
451,-20
452,-12
453,-20
454,-4
455,-20
456,-12
457,-12
458,-12
459,-28
460,-4
461,-12
462,-4
463,-28
464,-20
465,-20
466,-12
467,-12
468,-20
469,-28
470,-20
471,-4
472,-28
473,-4
474,-12
475,-20
476,-12
477,-12
478,-12
479,-4
480,-20
481,-20
482,-12
483,-12
484,-4
485,-28
486,-20
487,-12
488,-12
489,-20
490,-28
491,-20
492,-20
493,-20
494,-4
495,-20
496,-12
497,-28
498,-20
499,-12
500,-20
501,-12
502,-20
503,-28
504,-12
505,-12
506,-20
507,-12
508,-4
509,-20
510,-12
511,-20
512,-4
513,-28
514,-20
515,-20
516,-28
517,-12
518,-20
519,-12
520,-12
521,-20
522,-12
523,-4
524,-12
525,-12
526,20
527,-12
528,-12
529,-4
530,-12
531,-12
532,-12
533,-12
534,-12
535,-4
536,-4
537,-4
538,-12
539,-4
540,-28
541,-20
542,-12
543,-28
544,-12
545,-4
546,-20
547,-12
548,-12
549,-20
550,4
551,-12
552,-12
553,-12
554,-28
555,-20
556,-12
557,-12
558,-12
559,-20
560,-12
561,4
562,-12
563,-4
564,-12
565,-36
566,-4
567,-4
568,-20
569,-12
570,-12
571,-12
572,-28
573,-20
574,-28
575,-20
576,-12
577,-20
578,-12
579,4
580,-12
581,-12
582,-28
583,-12
584,-28
585,-12
586,-4
587,-20
588,-12
589,-28
590,-12
591,-12
592,-4
593,-12
594,4
595,-20
596,-20
597,-12
598,-12
599,-12
600,-28
601,-12
602,-12
603,-4
604,-20
605,-12
606,-12
607,-12
608,-20
609,-20
610,-4
611,-20
612,-20
613,-20
614,-12
615,-20
616,-20
617,-12
618,-12
619,-20
620,-12
621,-4
622,-12
623,-12
624,-12
625,20
626,-20
627,4
628,-12
629,-20
630,-12
631,-4
632,-20
633,-20
634,4
635,-20
636,20
637,-4
638,-20
639,-4
640,-12
641,-36
642,-20
643,-12
644,-28
645,-20
646,-12
647,-4
648,-12
649,-20
650,-20
651,-20
652,12
653,-28
654,-20
655,-20
656,-28
657,-20
658,-12
659,-20
660,-20
661,-12
662,-20
663,-12
664,-12
665,-36
666,-20
667,-12
668,-20
669,-4
670,-28
671,-12
672,-12
673,-12
674,-12
675,-12
676,-28
677,-4
678,-20
679,-12
680,-28
681,-4
682,-28
683,-20
684,-28
685,-28
686,-20
687,-12
688,-28
689,-20
690,-4
691,-12
692,-20
693,36
694,-28
695,-28
696,-12
697,-12
698,-28
699,-20
700,-12
701,-4
702,-28
703,-28
704,-20
705,-28
706,-4
707,-28
708,-28
709,-20
710,-12
711,4
712,-20
713,-28
714,-68
715,-188
716,12
717,-28
718,-28
719,-12
720,-4
721,-20
722,4
723,-20
724,-12
725,12
726,4
727,-12
728,-20
729,-28
730,-4
731,-20
732,-4
733,-12
734,-12
735,-12
736,-20
737,-12
738,12
739,-12
740,-4
741,-12
742,-4
743,-20
744,-12
745,-12
746,-12
747,-20
748,-12
749,-4
750,4
751,-4
752,-4
753,-4
754,-20
755,4
756,-28
757,-12
758,-28
759,-4
760,-4
761,-12
762,-12
763,-28
764,-12
765,-12
766,-28
767,-28
768,-20
769,-4
770,-12
771,-12
772,-20
773,-12
774,-20
775,-12
776,-12
777,-12
778,-12
779,-4
780,-36
781,-4
782,-4
783,-20
784,-12
785,-12
786,-20
787,-20
788,-20
789,-4
790,-12
791,-20
792,-20
793,-20
794,-12
795,-20
796,-12
797,-20
798,-4
799,-12
800,-4
801,-28
802,-4
803,-4
804,-4
805,-12
806,-20
807,-4
808,-12
809,-20
810,-12
811,-36
812,-4
813,-4
814,-4
815,-4
816,4
817,-20
818,-4
819,-4
820,-4
821,20
822,-4
823,-20
824,-4
825,-12
826,-4
827,-4
828,-4
829,-12
830,-12
831,4
832,-20
833,4
834,-12
835,-20
836,-4
837,-4
838,4
839,-20
840,-20
841,-4
842,-4
843,-20
844,-28
845,-12
846,-12
847,-20
848,-4
849,-4
850,-20
851,-12
852,-4
853,-4
854,-4
855,-4
856,-12
857,-12
858,-12
859,-12
860,-12
861,-20
862,-12
863,-12
864,-4
865,-12
866,-12
867,-4
868,-20
869,-12
870,-4
871,4
872,-12
873,-12
874,-20
875,4
876,-12
877,-20
878,-20
879,-4
880,-12
881,-12
882,-12
883,-28
884,-20
885,-12
886,-12
887,4
888,-12
889,-4
890,-20
891,-4
892,-20
893,-12
894,-20
895,-12
896,-20
897,-20
898,-12
899,-4
900,-12
901,-12
902,-12
903,-12
904,-20
905,-20
906,-12
907,-20
908,-12
909,-4
910,-12
911,-4
912,-12
913,4
914,-12
915,-20
916,-4
917,-20
918,-4
