index,CH1_Voltage(mV)
1,-2
2,-2
3,-2
4,2
5,2
6,2
7,-14
8,2
9,-2
10,-6
11,6
12,2
13,-2
14,-2
15,-2
16,-6
17,-2
18,-2
19,-2
20,-6
21,-2
22,-6
23,2
24,-2
25,2
26,2
27,-2
28,-2
29,-2
30,-2
31,-2
32,6
33,2
34,-2
35,-2
36,2
37,2
38,2
39,-2
40,-6
41,-2
42,-10
43,-2
44,-6
45,2
46,-2
47,-2
48,-2
49,2
50,-2
51,-2
52,6
53,-2
54,-2
55,-2
56,-2
57,-6
58,-2
59,-2
60,2
61,6
62,-2
63,2
64,-2
65,-6
66,-6
67,2
68,2
69,2
70,-2
71,-2
72,-2
73,-6
74,-2
75,2
76,-2
77,-6
78,-6
79,2
80,-2
81,-2
82,-6
83,2
84,2
85,-2
86,-2
87,-2
88,2
89,2
90,2
91,2
92,-2
93,-2
94,2
95,-2
96,2
97,-2
98,-6
99,-6
100,2
101,-6
102,2
103,2
104,-6
105,-2
106,-2
107,2
108,-6
109,2
110,-2
111,-2
112,-6
113,6
114,-2
115,-2
116,-2
117,2
118,-6
119,-2
120,-2
121,10
122,-6
123,-2
124,-2
125,2
126,2
127,-6
128,-2
129,-2
130,-6
131,-2
132,-6
133,-10
134,-2
135,-2
136,2
137,-6
138,-2
139,-2
140,-6
141,2
142,2
143,-2
144,2
145,-2
146,-2
147,2
148,2
149,-2
150,-2
151,2
152,-2
153,2
154,2
155,-2
156,-2
157,-6
158,2
159,2
160,2
161,-2
162,-22
163,2
164,-6
165,-10
166,-2
167,2
168,-2
169,-6
170,2
171,-2
172,-2
173,-6
174,-2
175,2
176,-2
177,-2
178,2
179,6
180,2
181,-6
182,-6
183,2
184,2
185,2
186,-6
187,-6
188,-6
189,2
190,-6
191,2
192,-2
193,2
194,2
195,2
196,-6
197,2
198,-2
199,-2
200,-6
201,2
202,-14
203,2
204,-2
205,2
206,-2
207,-6
208,2
209,2
210,-6
211,6
212,-14
213,-2
214,-2
215,-2
216,-6
217,2
218,6
219,-2
220,2
221,-2
222,10
223,-6
224,-2
225,2
226,-6
227,2
228,6
229,2
