Channel              :,CH1
Frequency            :,"	?"
Period               :,  ?
PK-PK                :,282.0mV
Average              :,0.780mV
Vertical pos         :,-1.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.125000mV
Time interval        :,400.00000uS
,
index,CH1_Voltage(mV)
1,9
2,9
3,-27
4,7
5,-25
6,13
7,-25
8,7
9,-33
10,-5
11,-3
12,-3
13,-9
14,-7
15,-5
16,-29
17,-3
18,-29
19,-3
20,-25
21,5
22,11
23,11
24,13
25,9
26,11
27,9
28,11
29,11
30,11
31,11
32,11
33,9
34,25
35,25
36,29
37,29
38,-17
39,21
40,-21
41,21
42,-21
43,21
44,-15
45,15
46,-23
47,9
48,-23
49,9
50,-21
51,9
52,-21
53,11
54,-25
55,9
56,-21
57,9
58,-21
59,-3
60,-41
61,-7
62,-33
63,-7
64,-31
65,-5
66,-11
67,1
68,5
69,-3
70,-9
71,5
72,-21
73,7
74,11
75,9
76,11
77,9
78,9
79,13
80,-23
81,9
82,-31
83,13
84,-19
85,29
86,-9
87,25
88,27
89,21
90,19
91,25
92,21
93,19
94,19
95,15
96,13
97,1
98,7
99,-23
100,9
101,-23
102,13
103,-13
104,7
105,7
106,7
107,-17
108,5
109,-33
110,-3
111,-19
112,-7
113,-7
114,-25
115,1
116,-37
117,1
118,-35
119,5
120,-25
121,7
122,-27
123,15
124,-31
125,11
126,-31
127,19
128,-21
129,9
130,-19
131,5
132,-23
133,13
134,-7
135,29
136,25
137,25
138,25
139,21
140,-13
141,21
142,-7
143,19
144,15
145,15
146,11
147,15
148,5
149,-19
150,9
151,-21
152,11
153,-21
154,11
155,-19
156,11
157,-21
158,11
159,-35
160,-3
161,-5
162,1
163,-5
164,1
165,-1
166,-35
167,1
168,-29
169,1
170,-25
171,5
172,-27
173,13
174,-23
175,13
176,-21
177,9
178,-21
179,7
180,9
181,9
182,7
183,1
184,19
185,25
186,29
187,25
188,25
189,19
190,21
191,25
192,-3
193,19
194,-15
195,21
196,-25
197,19
198,-31
199,15
200,11
201,13
202,11
203,-21
204,11
205,-21
206,11
207,-19
208,9
209,-25
210,-5
211,-33
212,-7
213,-29
214,1
215,-25
216,-7
217,1
218,1
219,1
220,7
221,9
222,-23
223,17
224,-23
225,11
226,-23
227,21
228,-21
229,17
230,13
231,-23
232,13
233,-23
234,19
235,-7
236,29
237,-7
238,21
239,-13
240,19
241,-7
242,19
243,-15
244,19
245,11
246,13
247,11
248,5
249,11
250,-15
251,9
252,-23
253,15
254,-23
255,11
256,-25
257,13
258,-21
259,9
260,-5
261,-41
262,-3
263,-43
264,7
265,-37
266,-5
267,-33
268,1
269,-33
270,1
271,-25
272,9
273,-23
274,15
275,-21
276,11
277,-17
278,9
279,-13
280,9
281,-17
282,15
283,-23
284,21
285,-5
286,33
287,31
288,31
289,19
290,29
291,27
292,27
293,25
294,31
295,25
296,19
297,15
298,-25
299,11
300,-21
301,13
302,-21
303,11
304,-23
305,13
306,-23
307,17
308,-15
309,5
310,-35
311,-3
312,-41
313,-3
314,-37
315,5
316,-3
317,5
318,1
319,-19
320,7
321,-25
322,15
323,25
324,13
325,21
326,11
327,13
328,17
329,13
330,13
331,-21
332,15
333,-19
334,21
335,1
336,31
337,5
338,25
339,-7
340,27
341,1
342,25
343,-13
344,25
345,-13
346,21
347,-29
348,19
349,-27
350,19
351,-23
352,21
353,-37
354,25
355,-35
356,17
357,-33
358,17
359,-31
360,-3
361,-43
362,-3
363,-43
364,5
365,-37
366,-3
367,-29
368,-5
369,-1
370,-9
371,11
372,-25
373,19
374,-27
375,19
376,25
377,19
378,13
379,25
380,19
381,25
382,21
383,27
384,21
385,41
386,-3
387,43
388,-13
389,27
390,-17
391,39
392,-19
393,31
394,25
395,15
396,15
397,15
398,15
399,-23
400,21
401,-29
402,21
403,-29
404,19
405,-33
406,25
407,-33
408,25
409,21
410,7
411,1
412,1
413,-3
414,7
415,5
416,1
417,1
418,-41
419,7
420,-35
421,15
422,-31
423,15
424,-23
425,13
426,-33
427,19
428,-41
429,25
430,21
431,25
432,25
433,33
434,29
435,-9
436,59
437,-17
438,63
439,-23
440,41
441,-9
442,35
443,-21
444,35
445,-23
446,31
447,-31
448,19
449,-29
450,19
451,-27
452,21
453,-37
454,29
455,-41
456,31
457,29
458,-9
459,29
460,-75
461,-1
462,11
463,-87
464,25
465,-79
466,1
467,-57
468,7
469,-59
470,15
471,-51
472,11
473,-41
474,25
475,-37
476,21
477,15
478,39
479,31
480,-43
481,31
482,-49
483,35
484,-51
485,53
486,-37
487,39
488,-67
489,19
490,-79
491,29
492,-63
493,17
494,-61
495,13
496,13
497,11
498,-41
499,15
500,-27
501,11
502,-43
503,-17
504,-111
505,-17
506,-5
507,5
508,-55
509,19
510,-99
511,-3
512,-107
513,19
514,27
515,-75
516,-3
517,-69
518,25
519,-73
520,19
521,-53
522,29
523,-19
524,39
525,-41
526,39
527,-41
528,25
529,-29
530,31
531,-29
532,33
533,-23
534,43
535,-5
536,91
537,-3
538,81
539,-31
540,69
541,85
542,63
543,61
544,-37
545,55
546,-47
547,43
548,-73
549,55
550,9
551,39
552,-33
553,39
554,-35
555,35
556,-41
557,39
558,-37
559,45
560,-91
561,-25
562,-91
563,-3
564,11
565,-59
566,-5
567,-47
568,-17
569,-59
570,29
571,-33
572,41
573,-29
574,53
575,-29
576,67
577,-27
578,61
579,-33
580,57
581,-49
582,67
583,-43
584,53
585,9
586,103
587,7
588,83
589,-25
590,75
591,73
592,-7
593,55
594,-9
595,43
596,-27
597,73
598,49
599,-37
600,45
601,-33
602,45
603,53
604,-37
605,61
606,-53
607,49
608,-59
609,87
610,19
611,-81
612,5
613,-69
614,21
615,-63
616,1
617,-63
618,1
619,-57
620,-43
621,19
622,-25
623,31
624,-31
625,33
626,-41
627,-37
628,33
629,-43
630,35
631,-47
632,33
633,-45
634,43
635,-23
636,67
637,-15
638,63
639,43
640,-13
641,47
642,-17
643,39
644,-19
645,35
646,-25
647,21
648,-21
649,13
650,-17
651,-37
652,29
653,29
654,-35
655,29
656,-37
657,27
658,-35
659,29
660,-59
661,13
662,-67
663,15
664,15
665,-37
666,1
667,-43
668,7
669,-41
670,17
671,-21
672,25
673,-21
674,19
675,-21
676,31
677,-35
678,31
679,25
680,-31
681,25
682,-29
683,31
684,-25
685,-3
686,55
687,-9
688,53
689,-21
690,43
691,-7
692,31
693,-7
694,33
695,-23
696,31
697,-29
698,25
699,15
700,-19
701,13
702,-19
703,21
704,-23
705,25
706,21
707,-25
708,21
709,-27
710,9
711,-53
712,9
713,-51
714,11
715,-41
716,1
717,-37
718,9
719,-37
720,9
721,-21
722,15
723,-13
724,13
725,-17
726,25
727,19
728,-21
729,21
730,-19
731,21
732,-25
733,25
734,-25
735,-9
736,49
737,-5
738,35
739,-3
740,33
741,1
742,29
743,-7
744,25
745,-7
746,15
747,-7
748,-13
749,19
750,-23
751,19
752,-15
753,31
754,-21
755,-21
756,21
757,-27
758,25
759,-27
760,-43
761,1
762,-37
763,5
764,-29
765,9
766,-1
767,-29
768,7
769,-25
770,7
771,-13
772,-23
773,19
774,-17
775,19
776,-21
777,21
778,-23
779,27
780,21
781,-21
782,15
783,-17
784,17
785,1
786,33
787,5
788,33
789,-5
790,29
791,9
792,25
793,-17
794,25
795,-7
796,21
797,-21
798,21
799,-15
800,13
801,-17
802,17
803,-23
804,21
805,-19
806,-17
807,19
808,-13
809,15
810,-29
811,1
812,-27
813,-3
814,-21
815,1
816,-27
817,5
818,-29
819,7
820,-21
821,11
822,-21
823,21
824,-21
825,21
826,-17
827,19
828,-17
829,21
830,-19
831,-13
832,13
833,-13
834,11
835,1
836,27
837,-3
838,33
839,-13
840,27
841,-5
842,29
843,25
844,-13
845,31
846,-19
847,21
848,-15
849,-13
850,15
851,-17
852,15
853,-11
854,15
855,-9
856,13
857,-13
858,15
859,-17
860,1
861,-31
862,-17
863,1
864,-21
865,9
866,-33
867,1
868,-27
869,5
870,-19
871,9
872,-13
873,11
874,-9
875,-17
876,15
877,-15
878,15
879,-15
880,17
881,-15
882,19
883,-19
884,19
885,-7
886,43
887,1
888,33
889,-9
890,31
891,-3
892,29
893,-7
894,-3
895,25
896,-9
897,9
898,-9
899,15
900,-15
901,-17
902,19
903,-21
904,17
905,-19
906,21
907,-21
908,21
909,-13
910,1
911,-29
912,1
913,-27
914,7
915,-27
916,-27
917,-3
918,-23
919,5
920,-23
921,11
922,-17
923,21
924,-19
925,15
926,-27
927,19
928,-21
929,15
930,-17
931,17
932,-15
933,15
934,-13
935,29
936,7
937,29
938,5
939,25
940,-7
941,35
942,-3
943,1
944,29
945,-9
946,29
947,-17
948,21
949,-19
950,21
951,-13
952,19
953,-19
954,15
955,-15
956,15
957,-11
958,15
959,-17
960,-3
961,-37
962,5
963,-45
964,15
965,-35
966,-17
967,11
968,-33
969,7
970,-23
971,11
972,-9
973,19
974,-15
975,19
976,-15
977,13
978,-3
979,21
980,-19
981,21
982,-23
983,21
984,-21
985,41
986,-5
987,47
988,1
989,33
990,35
991,-3
992,31
993,-5
994,35
995,-9
996,25
997,-21
998,17
999,-21
1000,25
1001,-27
1002,-21
1003,-19
1004,-23
1005,25
1006,-25
1007,31
1008,-25
1009,25
1010,-41
1011,-3
1012,-41
1013,-5
1014,-31
1015,5
